Country,DevType,YearsCodePro,Salary,Count
Canada,"Developer, full-stack",5-7,93161.19047619047,42
Canada,"Developer, full-stack",7-10,135943.1754385965,57
China,Academic researcher,0-2,12596.0,3
China,Academic researcher,2-5,17916.0,5
China,Academic researcher,7-10,40032.0,2
China,Data or business analyst,0-2,26688.0,1
China,Data or business analyst,15-20,10.0,1
China,Data or business analyst,2-5,113864.0,3
China,Data or business analyst,5-7,26688.0,2
China,Data or business analyst,7-10,28268.0,3
China,Data scientist & ML,0-2,23130.0,4
China,Data scientist & ML,2-5,74202.75,4
China,Database administrator,0-2,16306.0,6
China,Database administrator,10-15,59304.0,1
China,Database administrator,2-5,46660.8,5
China,Database administrator,5-7,38548.0,1
China,Database administrator,7-10,109716.0,3
China,DevOps specialist,0-2,23124.0,1
China,DevOps specialist,10-15,103782.0,1
China,DevOps specialist,2-5,59304.0,1
China,"Developer, back-end",0-2,19343.653846153848,26
China,"Developer, back-end",10-15,190805.57142857142,7
China,"Developer, back-end",15-20,61578.666666666664,3
China,"Developer, back-end",2-5,83851.57894736843,38
China,"Developer, back-end",20+,25350.0,2
China,"Developer, back-end",5-7,75958.375,8
China,"Developer, back-end",7-10,132601.18181818182,11
China,"Developer, front-end",0-2,21170.30769230769,13
China,"Developer, front-end",2-5,29616.88888888889,9
China,"Developer, front-end",5-7,2520.0,1
China,"Developer, full-stack",0-2,89131.2,5
China,"Developer, full-stack",10-15,53376.0,1
China,"Developer, full-stack",15-20,74130.0,2
China,"Developer, full-stack",2-5,32673.8,10
China,"Developer, full-stack",20+,15120.0,1
China,"Developer, full-stack",5-7,35586.0,2
China,"Developer, full-stack",7-10,42696.0,3
France,Academic researcher,0-2,31732.5,18
France,Academic researcher,10-15,123155.42857142857,7
France,Academic researcher,15-20,41605.142857142855,7
France,Academic researcher,2-5,37622.142857142855,21
France,Academic researcher,20+,52305.0,4
France,Academic researcher,5-7,51349.454545454544,11
France,Academic researcher,7-10,32423.222222222223,9
France,Data or business analyst,0-2,67405.71428571429,14
France,Data or business analyst,10-15,91573.0,8
France,Data or business analyst,15-20,85931.0,1
France,Data or business analyst,2-5,50812.25,16
France,Data or business analyst,20+,100251.5,4
France,Data or business analyst,5-7,35689.333333333336,6
France,Data or business analyst,7-10,59120.0,5
France,Data scientist & ML,0-2,62190.6,25
France,Data scientist & ML,10-15,77338.0,6
France,Data scientist & ML,15-20,67599.0,2
France,Data scientist & ML,2-5,67430.53333333334,30
France,Data scientist & ML,20+,85926.0,2
France,Data scientist & ML,5-7,60268.0,9
